# Countries present in 1886 that Hearts of Iron IV does not model.
# Generated by tools/countries_1886.py -- edit that file, not this one.

ACE = "countries/Aceh.txt"                          # Aceh
ALS = "countries/Alsace-Lorraine.txt"               # Alsace-Lorraine
ANH = "countries/Anhalt.txt"                        # Anhalt
ASH = "countries/Ashanti.txt"                       # Ashanti
ASR = "countries/Asir.txt"                          # Asir
BAV = "countries/Bavaria.txt"                       # Bavaria
BCH = "countries/Bechuanaland.txt"                  # Bechuanaland
BDG = "countries/Badung.txt"                        # Badung
BDI = "countries/Burundi.txt"                       # Burundi
BDN = "countries/Baden.txt"                         # Baden
BGR = "countries/Baguirmi.txt"                      # Baguirmi
BHP = "countries/Bhopal.txt"                        # Bhopal
BHR = "countries/Bahrain.txt"                       # Bahrain
BKN = "countries/Bikaner.txt"                       # Bikaner
BLL = "countries/Buleleng.txt"                      # Buleleng
BNE = "countries/Bone.txt"                          # Bone
BNI = "countries/Benin.txt"                         # Benin
BOR = "countries/Bornu.txt"                         # Bornu
BOS = "countries/Bosnia_and_Herzegovina.txt"        # Bosnia and Herzegovina
BRD = "countries/Baroda.txt"                        # Baroda
BRE = "countries/Bremen.txt"                        # Bremen
BRM = "countries/Burma.txt"                         # Burma
BRN = "countries/Brunei.txt"                        # Brunei
BRT = "countries/Barotseland.txt"                   # Barotseland
BRU = "countries/Brunswick.txt"                     # Brunswick
BSU = "countries/Basutoland.txt"                    # Basutoland
BUG = "countries/Buganda.txt"                       # Buganda
BUK = "countries/Bukhara.txt"                       # Bukhara
BUN = "countries/Bunyoro.txt"                       # Bunyoro
BWP = "countries/Bahawalpur.txt"                    # Bahawalpur
CAM = "countries/Cambodia.txt"                      # Cambodia
CAP = "countries/Cape_Colony.txt"                   # Cape Colony
CCH = "countries/Cochin.txt"                        # Cochin
CFS = "countries/Congo_Free_State.txt"              # Congo Free State
CPS = "countries/Champasak.txt"                     # Champasak
CRT = "countries/Crete.txt"                         # Crete
DAH = "countries/Dahomey.txt"                       # Dahomey
DAR = "countries/Darfur.txt"                        # Darfur
DLI = "countries/Deli.txt"                          # Deli
DNM = "countries/Dai_Nam.txt"                       # Dai Nam
EGB = "countries/Egba.txt"                          # Egba
ERU = "countries/Eastern_Rumelia.txt"               # Eastern Rumelia
FTJ = "countries/Futa_Jallon.txt"                   # Futa Jallon
FTT = "countries/Futa_Toro.txt"                     # Futa Toro
GWA = "countries/Gwalior.txt"                       # Gwalior
HAM = "countries/Hamburg.txt"                       # Hamburg
HAW = "countries/Hawaii.txt"                        # Hawaii
HEJ = "countries/Hejaz.txt"                         # Hejaz
HES = "countries/Hesse.txt"                         # Hesse
HOB = "countries/Hobyo.txt"                         # Hobyo
HRR = "countries/Harar.txt"                         # Harar
HYD = "countries/Hyderabad.txt"                     # Hyderabad
IJE = "countries/Ijebu.txt"                         # Ijebu
INR = "countries/Indore.txt"                        # Indore
JAI = "countries/Jaipur.txt"                        # Jaipur
JOD = "countries/Jodhpur.txt"                       # Jodhpur
JOH = "countries/Johor.txt"                         # Johor
JUN = "countries/Junagadh.txt"                      # Junagadh
KED = "countries/Kedah.txt"                         # Kedah
KEL = "countries/Kelantan.txt"                      # Kelantan
KHI = "countries/Khiva.txt"                         # Khiva
KLT = "countries/Kalat.txt"                         # Kalat
KLU = "countries/Klungkung.txt"                     # Klungkung
KND = "countries/Kenedougou.txt"                    # Kenedougou
KSH = "countries/Jammu_and_Kashmir.txt"             # Jammu and Kashmir
KTC = "countries/Kutch.txt"                         # Kutch
KUW = "countries/Kuwait.txt"                        # Kuwait
LIP = "countries/Lippe.txt"                         # Lippe
LOM = "countries/Lombok.txt"                        # Lombok
LUA = "countries/Luang_Prabang.txt"                 # Luang Prabang
LUB = "countries/Lubeck.txt"                        # Lubeck
MER = "countries/Merina.txt"                        # Merina
MHD = "countries/Mahdist_State.txt"                 # Mahdist State
MJT = "countries/Majeerteen.txt"                    # Majeerteen
MKS = "countries/Mecklenburg-Schwerin.txt"          # Mecklenburg-Schwerin
MKT = "countries/Mecklenburg-Strelitz.txt"          # Mecklenburg-Strelitz
MLB = "countries/Mount_Lebanon.txt"                 # Mount Lebanon
MNP = "countries/Manipur.txt"                       # Manipur
MTB = "countries/Matabeleland.txt"                  # Matabeleland
MYS = "countries/Mysore.txt"                        # Mysore
NBO = "countries/North_Borneo.txt"                  # North Borneo
NEJ = "countries/Emirate_of_Nejd.txt"               # Emirate of Nejd
NKO = "countries/Nkore.txt"                         # Nkore
NSN = "countries/Negeri_Sembilan.txt"               # Negeri Sembilan
NTL = "countries/Natal.txt"                         # Natal
NWR = "countries/New_Republic.txt"                  # New Republic
OFS = "countries/Orange_Free_State.txt"             # Orange Free State
OLD = "countries/Oldenburg.txt"                     # Oldenburg
OTT = "countries/Ottoman_Empire.txt"                # Ottoman Empire
OYO = "countries/Oyo.txt"                           # Oyo
PHG = "countries/Pahang.txt"                        # Pahang
PRK = "countries/Perak.txt"                         # Perak
PRL = "countries/Perlis.txt"                        # Perlis
PRU = "countries/Prussia.txt"                       # Prussia
PTL = "countries/Patiala.txt"                       # Patiala
QAT = "countries/Qatar.txt"                         # Qatar
QNG = "countries/Qing_Empire.txt"                   # Qing Empire
REU = "countries/Reuss_Elder_Line.txt"              # Reuss Elder Line
REW = "countries/Rewa.txt"                          # Rewa
RSD = "countries/Jabal_Shammar.txt"                 # Jabal Shammar
RWA = "countries/Rwanda.txt"                        # Rwanda
