kind,coarse_state,coarse_id,coarse_provinces,overlapped,coverage_pct,replacements,fall_through,replacement_states,overlapped_provinces,fall_through_provinces,decision
replaced,357-New England,357,31,24,77,5,7,958-Conneticut | 959-Vermont | 960-New Hampshire | 961-Maine | 1031-Rhode Island,733 1282 1338 1619 3712 3715 3732 4287 4445 6719 6909 7462 7629 9675 9832 9847 9850 10247 10318 10481 11830 12202 12221 12459,715 718 905 908 3710 3906 6732,
replaced,336-Singapore,336,25,19,76,3,6,922 - Singapore | 925 - Northern Malacca | 926 - Southern Malacca,1291 1348 1364 1392 4310 4355 4367 4424 7329 7342 7399 7427 10227 10313 12113 12144 12199 12215 12299,1376 4384 4412 10297 12255 12271,
replaced,375-Texas,375,49,44,90,6,5,1280-Amarillo | 1281-Comanche | 1303-TransPecos | 1304-San Antonio | 1305-Houston | 1306-Dallas-Fort Worth,805 1500 1915 1927 1954 1998 2019 2042 2055 2082 3875 3960 3972 4577 4884 4955 5001 5038 5061 5085 6785 6798 6968 6987 7628 8064 9773 9829 9908 9920 10337 10504 10740 10778 10861 10894 12301 12369 12486 12728 12782 12848 12875 12893,5022 7836 7981 12341 12410,
replaced,284-New Zealand,284,24,19,79,4,5,1077-Waikato | 1078-Taranaki | 1079-Bay of Plenty | 1080-far north,1565 1713 1746 1786 4543 4615 4718 4748 7742 7783 7887 10334 10373 10609 10710 12362 12604 12617 12664,1801 1814 4804 7692 7826,
replaced,104-Bosnia,104,21,17,81,6,4,966-Zlatibor | 1205 - East Herzegovina | 1206 - West Herzegovina | 1207 - Banja Luka | 1208 - Eastern Bosnia | 1272-Sarajevo,606 953 982 6619 6799 6942 6983 9588 9591 9894 9922 11572 11574 11741 11845 11872 11899,3985 6614 6957 9586,
replaced,558-Nigeria,558,21,17,81,6,4,871 - Oyo | 872 - Borgu | 873 - Sokoto | 874 - Ijebu | 1218 - Sokoto south | 1219 - Sokoto east,1891 1932 1969 2025 2050 4889 4938 4952 4972 4997 5028 8021 8034 8109 10820 12731 12817,1992 7978 10831 12900,
replaced,551-Khartoum,551,21,17,81,3,4,817 - Gedaref | 1191 - Western Sudan | 1348-Southern Nile,2046 4138 4961 4963 7925 7989 8105 10743 10745 10784 10902 12796 12806 12826 12836 12862 12881,1977 2003 2088 12725,
replaced,376-New Mexico,376,15,12,80,8,3,1278-Comanche-New Mexico | 1279-Comache-South New Mexico | 1285-South New Mexico | 1288-Navajo-New Mexico | 1295-South Apache | 1300-Southwest New Mexico | 1301-Southwest-Apache New Mexico | 1302-West New Mexico,1972 2102 3867 3883 5044 8070 10645 10867 10914 12552 12720 12791,4975 10642 12684,
replaced,231-Georgia,231,18,15,83,7,3,1115 -Abkhazeti | 1116 - Guria | 1117 - Samegrelo | 1119 - Eastern Meskheti | 1120 - Kartli | 1121 - Kakheti | 1237-South Ossetia,672 772 1530 1599 3653 3656 4534 4605 6436 6669 6671 9702 11599 11617 12309,654 3658 9626,
replaced,498-Rio Grande,498,20,17,85,4,3,1041-Ceara | 1042-Alagoas | 1043-Paraiba | 1044-Pernambuco,1446 1524 2132 2164 2178 2227 5107 5168 5182 7561 8179 8227 10345 10939 10967 10998 12961,2175 10933 10989,
replaced,291-Iraq,291,13,10,77,2,3,1026-Euphrates Strip | 1027-Mesopotamia,2004 2089 3795 7977 7994 8001 10876 12046 12726 12839,78 2097 12855,
replaced,547-East Africa,547,14,12,86,7,2,826 - Kenyan Coast | 906 - North Massai | 911 - Mau Mau | 912 - Ogaden Clan | 913 - Borana Oromo | 914 - Rendille | 915 - East Turkana,1939 2066 5079 5196 5210 6020 8133 10761 10860 10976 11145 12927,5160 10962,
