id	key	name	category	vanilla_owner	provinces
1	STATE_1	Corsica	town	FRA	3838 9851 11804
2	STATE_2	Lazio	city	ITA	923 6862 9794 9904 11751 11846 11882 13298 13526
3	STATE_3	Romandy	large_city	SWI	636 3612 6635 6666 6683 9587 9618 9620 9622 9638 11570 11590 11604 13842
4	STATE_4	Lower Austria	large_city	AUS	653 704 3700 3718 6690 6739 9527 9646 9648 9661 9679 11630 11666 13796
5	STATE_5	East Prussia	town	PRU	266 395 3351 3380 3384 6332 6375 6402 9327 9346 9372 9398 11245 11386
6	STATE_6	Flanders	metropolis	BEL	516 3576 6446 6560 6598 9574 11419 13068
7	STATE_7	Noord-Holland	metropolis	HOL	68 391 3211 3314 9498
8	STATE_8	Luxemburg	town	LUX	6583
9	STATE_9	Bohemia	large_city	AUS	445 494 583 3462 6418 6440 6592 9414 9421 9429 9541 9569 11542 11556
10	STATE_10	Mazowsze	large_city	RUS	467 524 3482 3544 6511 9400 9508 11492 12562
11	STATE_11	Kaunas	town	RUS	327 3272 6296 9246 9295 9357 9374 9404 9438 11226 11498
12	STATE_12	Vidzeme	city	RUS	222 310 319 341 3255 3298 3388 6459 7482 9240 9275 9317 9340 9501 10323 10493 11222 11302 11358
13	STATE_13	Harju	town	RUS	83 185 308 496 567 3074 3152 3174 6201 6381 9079 11127 11291 11426
14	STATE_14	Bretagne	city	FRA	542 3552 3758 6536 6548 6572 9495 9510 9525 11508
15	STATE_15	Basse-Normandie	city	FRA	485 539 553 3534 3549 3579 6449 6569 6599 9434 9550 9578 11521 11535 11563
16	STATE_16	Ile de France	metropolis	FRA	6547 6949 9507 9523 9534 9725 11491 11506 11518 13368
17	STATE_17	Franche-Comté	city	FRA	521 698 3646 3666 6698 9642 9658 11488 11516 11642
18	STATE_18	Champagne	city	FRA	551 3533 3546 3560 5291 6531 6545 9472 9490 9505 11732 13011
19	STATE_19	Aquitaine	city	FRA	743 6621 6762 6777 9710 9737 11565
20	STATE_20	Rhone	city	FRA	641 3650 3770 6613 6639 6668 6786 9590 9728 9732 11593 11716 11794
21	STATE_21	Provence	city	FRA	911 956 958 3762 3928 11834 11849 11875
22	STATE_22	Languedoc-Roussillion	town	FRA	752 760 3751 3754 3948 6770 6960 6962 9723 9898 11709 11711 11877
23	STATE_23	Charente	town	FRA	595 629 655 3659 6657 9597 9631 11582 11596 11600
24	STATE_24	Centre	large_town	FRA	512 3493 3671 6518 6533 6688 9492 11611 11631
25	STATE_25	Gascogne	large_town	FRA	620 625 755 3598 3771 6618 6773 6775 6792 9717 9734 9751 11718 11720
26	STATE_26	Auvergne	town	FRA	590 769 3594 6644 6789 9593 9607 9748 11576
27	STATE_27	Burgundy	city	FRA	648 667 680 817 3506 3652 3669 3681 9609 9625 9644 11628
28	STATE_28	Alsace-Lorraine	city	ALS	549 678 1346 3629 6529 9503 9559 11502 11531
29	STATE_29	Picardie	large_city	FRA	575 3476 3536 6504 9500 11483 11548 11606
30	STATE_30	Maine	city	FRA	503 527 3495 3509 3523 9478 9867 11463 11465 11613 11616
31	STATE_31	Pyrenees	city	FRA	929 943 3740 3749 3915 3946 6759 6766 6915 6917 6931 9853 9882 9884 11697 11699 11702 12169
32	STATE_32	Alpes	town	FRA	762 780 3589 3768 6784 11713
33	STATE_33	Limousin	town	FRA	651 669 3621 3626 3655 6648 6651 9629 11869
34	STATE_34	Namur	large_city	BEL	3488 3516 6537 9418 9444 9536 11407 11519 13081
35	STATE_35	Brabant	city	HOL	480 3262 6496 6500 9431 11456 11562
36	STATE_36	Friesland	city	HOL	6241 6286 6336 9309 9335 9363 9403 11318
37	STATE_37	Sjaelland	large_city	DEN	3260 3305 3325 3374 6287 6393
38	STATE_38	Norrland	town	SWE	46 49 77 113 114 125 130 156 168 184 202 205 3005 3039 3045 3070 3108 3111 3148 3162 3191 6010 6023 6063 6067 6093 6123 6126 6129 6147 6185 6207 9035 9051 9066 9068 9088 9117 9141 9148 9151 9154 9171 9173 9182 9193 9229 11040 11049 11052 11053 11091 11116 11120 11123 11129 11147 11148 11185 11187 11197 11209
39	STATE_39	South Tyrol	town	ITA	656 6631 6675 9598 9630 11598 11615
40	STATE_40	Barnaul	large_town	SOV	1297 1779 1794 1797 4803 7680 10537 10546 11410 12515 12528 12613
41	STATE_41	Madrid Area	city	SPR	794 858 896 939 977 3794 3845 3858 3874 3938 3986 6841 6914 6993 9767 9785 9933 11820 11870
42	STATE_42	Palatinate (Prussia)	metropolis	PRU	9575 11435 11470 11494 13448
43	STATE_43	North Hungary	large_city	HUN	684 716 3713 3731 6716 6751 9660 9690 11520
44	STATE_44	Albania	town	OTT	3884 3896 9780 9875 9914 11762 11767 13853 13869
45	STATE_45	Vojvodina	town	HUN	619 3617 3623 9608 9621 11580
46	STATE_46	Muntenia	city	ROM	660 674 818 3076 3636 3639 3663 6658 6677 6695 9617 9635 9651 11603 11619 11636 13673
47	STATE_47	Central Greece	city	GRE	863 976 1109 3864 3973 3988 4109 6930 7127 13865 13866 13867
48	STATE_48	Sofia	city	BUL	793 935 949 965 3908 3971 9771 11754 13849 13861
49	STATE_49	Angora	town	TUR	804 909 3907 3951 6808 6908 6925 9806 9901 11747 11784
50	STATE_50	Wurttemberg (Wurttemberg)	large_city	WUR	519 694 3690 6555 6581 9545 9655 11486 11499
51	STATE_51	Rhineland	metropolis	PRU	529 587 3444 3512 3547 6469 6570 9482 9522
52	STATE_52	Upper Bavaria	city	BAV	692 707 708 3688 3705 6540 6693 9652 9666 11620 11638 11653
53	STATE_53	Lower Bavaria	city	BAV	532 571 586 3299 3541 3571 6725 9515 9681 11497
54	STATE_54	Franken (Bavaria)	city	BAV	561 3474 6594 9416 9557 9572 11404 11417 11529 11544
55	STATE_55	Eastern Hesse (Prussia)	large_city	PRU	564 3397 3524 6444 6488 9524 9547 11445 11533 13665
56	STATE_56	Weser-Ems (Prussia)	city	PRU	247 3234 9281 11233 11264 11360 11388 13839
57	STATE_57	Westphalia (Prussia)	large_city	PRU	495 3398 6535 6622 9509 11346 11431
58	STATE_58	Schleswig (Prussia)	large_city	PRU	317 3231 3368 6257 6389 9320 11251 11366
59	STATE_59	Hannover (Prussia)	large_city	PRU	374 3271 3326 3395 6218 6263 6298 6325 6349 6377 6513 9238 9264 9375 11402 11493
60	STATE_60	Thuringia (Prussia)	large_city	PRU	3561 6582
61	STATE_61	Mecklenburg-Schwerin (Mecklenburg-Schwerin)	town	MKS	293 321 9294 11276 11305
62	STATE_62	Pomerania	town	PRU	349 3207 3258 3312 3340 9388
63	STATE_63	Eastern Pomerania	town	PRU	6282 6309 6334 6390 9252 9277 9306 9334 9361 11260 11288 11316 11343 11372
64	STATE_64	Brandenburg (Prussia)	megalopolis	PRU	375 478 3367 3499 3522 6521 9428 9456 9496 11219 11359 11415 11444 11505 13497
65	STATE_65	Saxony (Prussia)	metropolis	PRU	514 3514 3535 6441 9535 11545
66	STATE_66	Lower Silesia	large_city	PRU	552 3283 3438 3485 3510 3545 6462 6534 6595 9470 9570 11517
67	STATE_67	Upper Silesia	city	PRU	479 506 6512 9457 9511 11467 13663
68	STATE_68	Ostmark	city	PRU	444 537 3473 3572 6236 9387 11478
69	STATE_69	Sudetenland	town	AUS	424 469 543 557 3418 3585 5283 6470 7857 9555 11401 11414 11432 11525
70	STATE_70	West Slovakia	city	HUN	541 3484 3537 9539 9692 11522 11539
71	STATE_71	East Slovakia	rural	HUN	555 581 3550 3581 6586 6604 11554
72	STATE_72	Olsagebiet	rural	AUS	9551 9567
73	STATE_73	Subcarpathia	rural	HUN	3548 6571 9563 11536 11691
74	STATE_74	Moravian Silesia	rural	AUS	421 3414 3583 6485
75	STATE_75	Moravia	city	AUS	569 3553 3569 6562 6576 6590 11511
76	STATE_76	North Transylvania	town	HUN	713 727 746 3696 3709 6711 6714 6731 9672 9685 9687 9704 11676
77	STATE_77	Southern Dobrudja	rural	BUL	657 9614 11597
78	STATE_78	Bessarabia	town	RUS	414 565 3577 3707 6600 9683 11686 11705 13681
79	STATE_79	Moldova (Romania)	rural	ROM	711 744 3407 3689 3728 3741 6584 6706 6729 6747 6761 9701 9716 11534 11652 11655 11672 11689 13678
80	STATE_80	Bukowina	rural	AUS	577 9548 13676 13677
81	STATE_81	Oltenia	rural	ROM	637 3630 3645 6652 6667 11588 11605 11657 13674
82	STATE_82	East Banat	rural	HUN	646 662 3649 9606 11592 11608 13672
83	STATE_83	Kreischgebiet	town	HUN	696 6682 6697 9640
84	STATE_84	South Transylvania	town	HUN	676 690 693 3665 3676 3694 6679 6709 9619 9668 9670 11622 11639
85	STATE_85	Pomerellen	city	PRU	243 279 334 362 389 3295 3324 6347 9263
86	STATE_86	Posen	city	PRU	17 388 3381 3460 3532 6558 9532 11232 11558
87	STATE_87	Kalisz	town	RUS	493 584 9439 9546 11428 11515
88	STATE_88	West Galicia	large_city	AUS	417 442 466 3410 3434 6499 6522 9412 9427 9494 11398 11413 11507
89	STATE_89	South Galicia	town	AUS	3743 6431 6460 6483 9425 11411 11550
90	STATE_90	Kielce	town	RUS	562 3458 3497 3586 6416 6464 11430 11532
91	STATE_91	East Galicia	city	AUS	438 491 536 3483 3562 9454 9468 9558 11427 11479
92	STATE_92	Lublin	town	RUS	3521 3559 6484 6580 9452 9521 11399
93	STATE_93	Wolyn	town	RUS	422 474 513 572 3412 6435 6520 6557 11441 11543
94	STATE_94	Polesie	rural	RUS	535 560 3256 3309 3392 3496 3556 6280 6306 6415 6546 6579 9520 9544 11285 11466 11503 11528
95	STATE_95	Nowogrodek	rural	RUS	318 3281 3366 3393 6359 6413 9236 9274 9304 9359 11341 13206
96	STATE_96	Wilno	rural	RUS	233 277 358 406 3320 6340 9341 11342 11391
97	STATE_97	Bialystok	rural	RUS	290 347 400 402 3254 6281 11247 11274 11301 11312 11329 11357
98	STATE_98	Plock	rural	RUS	548 3230 6259 6321 6401 6567 9290 9316 11385
99	STATE_99	Jutland	town	DEN	316 332 394 399 3206 3277 3341 6235 6364
100	STATE_100	Iceland	rural	DEN	4861 12674 12689
101	STATE_101	Greenland	wasteland	DEN	10245 10636 12512 13058 13066
102	STATE_102	Carniola	large_town	AUS	596 665 3631 3654 6650 6672 9596 9627
103	STATE_103	North Dalmatia	large_town	AUS	591 984 3601 3868 3924 3974 6611 6889 11564 11816 11901 13782
